Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
23188,19960717,73,66,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 17,31.5, 12,3.1
23188,19960718,73,66,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 15,31.5, 10,2.9
23188,19960719,75,66,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 14,27,  9,2.8
23188,19960720,74,64,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 14,22.5, 10,2.3
23188,19960721,73,63,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 14,22.5, 11,2.3
23188,19960722,75,64,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 15,31.5, 13,3
23188,19960723,73,65,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 22,31.5, 14,3.1
23188,19960724,74,65,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 16,27, 10,2.7
23188,19960725,75,65,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 14,18,  8,1.8
23188,19960726,78,67,-,-,-,-,-,-,-,  0,-, 0.0,T    ,-,-,-,-,-, 13,31.5,  9,3.1
23188,19960727,76,69,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 15,31.5, 11,2.8
23188,19960728,78,69,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 18,27, 15,2.9
23188,19960729,79,69,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 18,31.5, 14,3
23188,19960730,79,70,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 17,31.5, 14,3
23188,19960731,78,68,-,-,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-, 17,27, 13,2.9
23194,19960701,97,61,  79 ,   3, 47, 59,  0, 14,-,M  ,-,-, 0.00,25.16,29.94,  4.1,12, 6.6, 30,6, 25,6
23194,19960702,100,59,  80 ,   3, 43, 59,  0, 15,-,M  ,-,-, 0.00,25.09,29.84,  1.7,14, 7.3, 29,21, 22,21
23194,19960703,97,67,  82 ,   5, 50, 62,  0, 17,-,M  ,-,-,  T  ,25.08,29.81,  7.1,24, 9.6, 34,24, 29,24
23194,19960704,99,67,  83 ,   6, 48, 61,  0, 18,-,M  ,-,-, 0.00,25.05,29.78,  3.7,21, 8.3, 33,22, 29,23
23194,19960705,99,71,  85 ,   8, 54, 64,  0, 20,-,M  ,-,-, 0.02,25.07,28.68,  1.8,27, 6.1, 40,24, 34,25
23194,19960706,102,67,  85 ,   8, 51, 63,  0, 20,HZ ,M  ,-,-, 0.00,25.10,29.85,  7.2,27,10.5, 44,14, 38,13
23194,19960707,99,69,  84 ,   6, 54, 64,  0, 19,-,M  ,-,-,  T  ,25.08,29.84,  2.3,21,10.0, 39,26, 34,25
23194,19960708,95,58,  77 ,  -1, 56, 63,  0, 12,-,M  ,-,-, 0.21,25.05,28.69,  1.2,32, 8.0, 36,31, 30,33
23194,19960709,90,65,  78 ,   0, 56, 63,  0, 13,-,M  ,-,-, 0.00,25.06,29.84, 10.1,26,10.5, 28,26, 23,26
23194,19960710,90,69,  80 ,   2, 55, 64,  0, 15,-,M  ,-,-,  T  ,25.14,29.90,  7.5,26, 9.1, 29,25, 26,25
23194,19960711,90,68,  79 ,   1, 54, 63,  0, 14,-,0.0,-,-, 0.00,25.12,29.90,  6.4,25, 9.0, 26,24, 23,24
23194,19960712,94,65,  80 ,   2, 51, 62,  0, 15,-,M  ,-,-,  T  ,25.10,29.86,  5.3,26, 9.3, 33,29, 29,30
23194,19960713,90,65,  78 ,   0, 56, 63,  0, 13,-,M  ,-,-, 0.04,25.10,29.86,  1.5,9, 6.2, 31,34, 25,35
23194,19960714,96,62,  79 ,   1, 52, 62,  0, 14,-,M  ,-,-, 0.04,25.08,29.84,  1.7,29, 7.5, 33,19, 28,20
23194,19960715,89,63,  76 ,  -3, 55, 63,  0, 11,-,M  ,-,-, 0.00,25.11,29.88,  7.4,19, 8.8, 26,22, 20,17
23194,19960716,88,67,  78 ,  -1, 58, 64,  0, 13,HZ ,0.0,-,-, 0.07,25.09,29.86,  6.6,23, 8.5, 32,24, 25,16
23194,19960717,90,61,  76*,  -3, 53, 62,  0, 11,-,M  ,-,-, 0.00,25.11,29.88,  3.7,20, 7.7, 23,25, 20,22
23194,19960718,97,60,  79 ,   0, 47, 58,  0, 14,-,M  ,-,-, 0.00,16.78,-,  5.5,23, 8.0, 28,25, 23,26
23194,19960719,99,57*,  78 ,  -1, 41, 55,  0, 13,-,M  ,-,-, 0.00,12.56,-,  1.6,20, 5.5, 25,26, 21,27
23194,19960720,100,62,  81 ,   2, 41, 59,  0, 16,-,M  ,-,-, 0.00,25.12,29.86,  1.3,26, 5.0, 23,27, 20,28
23194,19960721,102,65,  84 ,   5, 41, 59,  0, 19,-,M  ,-,-, 0.00,25.13,29.87,  6.1,31, 8.8, 30,28, 25,28
23194,19960722,104,62,  83 ,   4, 41, 60,  0, 18,-,M  ,-,-, 0.00,25.16,29.89,  5.6,30, 7.8, 23,2, 18,34
23194,19960723,104,62,  83 ,   4, 41, 59,  0, 18,-,M  ,-,-, 0.00,25.14,29.87,  1.0,31, 6.1, 23,34, 17,26
23194,19960724,105*,67,  86*,   7, 41, 60,  0, 21,-,M  ,-,-, 0.00,25.11,29.84,  5.1,26, 9.7, 34,25, 29,25
23194,19960725,98,68,  83 ,   4, 46, 60,  0, 18,-,M  ,-,-, 0.02,25.16,28.77,  7.2,29,13.4, 45,33, 39,33
23194,19960726,93,62,  78 ,  -1, 50, 61,  0, 13,-,M  ,-,-, 0.00,25.17,29.94,  3.1,23, 8.4, 39,20, 33,16
23194,19960727,92,70,  81 ,   2, 50, 61,  0, 16,-,M  ,-,-, 0.00,25.22,29.97,  2.7,22, 7.7, 28,21, 24,21
23194,19960728,91,67,  79 ,   1, 52, 62,  0, 14,-,M  ,-,-, 0.01,25.26,30.03,  2.6,23, 5.9, 30,24, 25,23
23194,19960729,93,64,  79 ,   1, 52, 62,  0, 14,-,0.0,-,-, 0.00,25.24,30.01,  1.2,20, 6.4, 33,28, 28,28
23194,19960730,98,68,  83 ,   5,-,-,  0, 18,-,M  ,-,-, 0.00,-,-,-,-, 6.3, 36,30, 30,30
23194,19960731,100,68,  84 ,   6,-,-,  0, 19,-,M  ,-,-, 0.00,-,-,-,-, 7.8, 44,22, 33,22
23225,19960701,82,68,  75 ,M   , 42, 56,  0, 10,-,M  ,-,-, 0.00,24.83,29.88,  1.9,7, 3.1, 13,26,  9,21
23225,19960702,81,65,  73 ,M   , 42, 55,  0,  8,-,M  ,-,-, 0.00,24.76,29.80,  0.7,15, 3.9, 20,23, 14,20
23225,19960703,75,59,  67 ,M   , 43, 54,  0,  2,-,M  ,-,-, 0.00,24.76,29.83,  0.5,11, 4.3, 17,19, 11,20
23225,19960704,72,58,  65 ,M   , 38, 51,  0,  0,-,M  ,-,-, 0.00,24.78,29.89,  2.2,17, 5.1, 18,20, 14,21
23225,19960705,77,60,  69 ,M   , 36, 51,  0,  4,-,M  ,-,-, 0.00,24.80,29.89,  2.4,10, 4.0, 14,19,  9,20
23225,19960706,80,67,  74 ,M   , 45, 57,  0,  9,-,M  ,-,-, 0.00,24.80,29.85,  1.0,1, 3.5, 11,28,  9,26
23225,19960707,81,67,  74 ,M   , 52, 60,  0,  9,-,M  ,-,-, 0.00,24.75,29.78,  0.9,3, 3.0, 14,30,  9,29
23225,19960708,80,65,  73 ,M   , 49, 59,  0,  8,-,M  ,-,-,  T  ,24.70,29.73,  0.7,26, 4.3, 13,29, 10,28
23225,19960709,79,63,  71 ,M   , 47, 57,  0,  6,HZ ,M  ,-,-, 0.00,24.73,29.80,  1.3,2, 3.7, 15,29, 10,27
23225,19960710,80,67,  74 ,M   , 45, 57,  0,  9,-,M  ,-,-, 0.00,24.87,29.92,  0.9,4, 3.6, 15,29, 10,25
23225,19960711,109*,64,  87*,M   , 46, 58,  0, 22,HZ ,M  ,-,-, 0.00,24.90,29.92,  2.4,29, 5.1, 15,28, 10,27
23225,19960712,79,61,  70 ,M   , 49, 59,  0,  5,FG ,M  ,-,-,  T  ,24.82,29.88,  1.4,35, 5.0, 29,7, 20,7
23225,19960713,80,62,  71 ,M   , 52, 60,  0,  6,-,M  ,-,-,  M  ,24.80,29.85,  0.7,7, 4.7, 23,6, 17,6
23225,19960714,81,67,  74 ,M   , 54, 61,  0,  9,-,M  ,-,-,  M  ,24.80,29.82,  1.3,7, 3.4, 15,25, 11,8
23225,19960715,78,59,  69 ,M   , 47, 57,  0,  4,HZ ,M  ,-,-, 0.50,24.77,29.82,  0.9,8, 3.5, 17,19, 13,21
23225,19960716,71,59,  65 ,M   , 37, 51,  0,  0,-,M  ,-,-, 0.00,24.72,29.84,  0.7,11, 3.8, 14,23, 10,23
23225,19960717,68,53,  61 ,M   , 43, 51,  4,  0,-,M  ,-,-, 0.00,24.72,29.87,  4.0,19, 5.8, 25,19, 17,20
23225,19960718,68,51*,  60*,M   , 36, 47,  5,  0,-,M  ,-,-, 0.00,24.86,30.02,  0.4,15, 3.9, 15,22, 11,22
23225,19960719,74,55,  65 ,M   , 32, 49,  0,  0,-,M  ,-,-, 0.00,24.86,30.00,  1.6,13, 4.3, 13,27, 10,30
23225,19960720,80,63,  72 ,M   , 36, 53,  0,  7,-,M  ,-,-, 0.00,24.81,29.90,  1.8,6, 3.1, 11,24,  9,30
23225,19960721,82,69,  76 ,M   , 42, 57,  0, 11,-,M  ,-,-, 0.00,24.87,29.91,  0.0,0, 2.2, 13,27,  9,28
23225,19960722,82,69,  76 ,M   , 43, 57,  0, 11,-,M  ,-,-, 0.00,24.90,29.99,  1.0,3, 3.5, 11,29,  9,27
23225,19960723,84,67,  76 ,M   , 44, 57,  0, 11,-,M  ,-,-, 0.00,24.90,29.98,  1.7,36, 3.4, 13,22,  9,26
23225,19960724,83,69,  76 ,M   , 49, 60,  0, 11,TS ,M  ,-,-, 0.00,24.88,29.91,  0.4,7, 3.7, 14,24,  9,27
23225,19960725,85,70,  78 ,M   , 41, 57,  0, 13,-,M  ,-,-, 0.00,24.81,29.85,  1.7,5, 3.3, 14,22, 10,24
23225,19960726,84,68,  76 ,M   , 44, 57,  0, 11,-,M  ,-,-, 0.00,24.83,29.86,  1.1,7, 2.3, 13,25,  8,29
23225,19960727,80,67,  74 ,M   , 43, 56,  0,  9,-,M  ,-,-, 0.00,24.87,29.91,  0.7,7, 2.7, 13,24, 10,23
23225,19960728,78,57,  68 ,M   , 48, 57,  0,  3,-,M  ,-,-,  T  ,24.90,30.01,  2.8,5, 4.6, 16,7, 11,5
23225,19960729,83,65,  74 ,M   , 49, 59,  0,  9,HZ ,M  ,-,-, 0.00,24.91,30.00,  3.1,7, 4.0, 14,28, 10,28
23225,19960730,83,67,  75 ,M   , 47, 59,  0, 10,-,M  ,-,-, 0.00,24.90,29.92,  2.2,6, 3.5, 15,26, 11,26
23225,19960731,82,68,  75 ,M   , 43, 56,  0, 10,-,M  ,-,-, 0.00,24.84,29.89,  1.3,7, 3.2, 18,25, 11,23
23232,19960701,106,64,   85,  11,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 20,1.8
23232,19960702,100,63,   82,  07,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 16,2.3
